sid	SRS014629	SRS017520	SRS052756	SRS020349	SRS021969	SRS019379	SRS016191	SRS011584	SRS022158	SRS019989	SRS023850	SRS017700	SRS018769	SRS019600	SRS049237	SRS056695	SRS042858	SRS016111	SRS052620	SRS047335	SRS044742	SRS024068	SRS051505	SRS013542	SRS077751	SRS015168	SRS042428	SRS055298	SRS063417	SRS062520	SRS015425	SRS012294	SRS014494	SRS016559	SRS064376	SRS064704	SRS024428	SRS052330	SRS057807	SRS050184	SRS016516	SRS017497	SRS065347	SRS015073	SRS022734	SRS011355	SRS054962	SRS015054	SRS011269	SRS022092	SRS015225
k__Bacteria|p__Cyanobacteria|c__Cyanophyceae|o__Chroococcales	0.26927	0.0	0.22994	0.0	0.0	0.0	0.0	0.31327	0.0	0.0	0.0	0.0	0.0	0.0	0.13034	0.0	0.0	0.14645	0.0	0.16156	0.0	0.19112	0.08822	0.03612	0.0	0.0	0.16462	0.15256	0.55188	0.0	0.0	0.36667	0.0	0.0	0.0	0.19249	0.0	0.0	0.0	0.2372	0.0	0.01309	0.0	0.0	0.0	0.0	0.18649	0.01554	0.20945	0.34049	0.18915
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.05712	0.04644	0.1873	0.02553	0.01547	0.01425	0.05749	0.07298	0.06303	0.01204	0.32489	0.00271	0.02363	0.09143	0.0198	0.01348	0.00223	0.03327	0.01844	0.00284	0.03746	0.01351	0.10548	0.07453	0.00671	0.01232	0.06525	0.03777	0.03008	0.05467	0.00608	0.01288	0.05966	0.06048	0.11269	0.08612	0.09339	0.04602	0.01622	0.64405	0.02576	0.0004	0.01971	0.01297	0.01187	0.01319	1.32959	0.03672	0.00967	0.01887	0.03153
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.03565	0.0033	0.00579	0.03433	0.0	0.02351	0.04756	0.08204	0.00965	0.00882	0.22913	0.00332	0.04146	0.05452	0.03655	0.04514	0.00615	0.2911	0.0	0.00498	0.0	0.0075	0.04994	0.00246	0.00196	0.0067	0.05225	0.01107	0.7854	0.04387	0.0669	0.0	0.10011	0.00273	0.02615	0.02725	0.00117	0.00779	0.02481	0.04153	0.00162	0.00048	0.0059	0.15495	0.0	0.0057	0.07131	0.32489	0.00324	0.00493	0.70501
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Ureaplasma|s__Ureaplasma_unclassified	0.0	0.0	0.34205	0.0	0.0	0.0	0.0	0.0	0.46556	0.01192	0.0	0.0	0.0	0.0	0.49242	0.0	0.0	0.0	0.0	0.0013	0.0	0.0	0.04729	0.09255	0.0	0.1129	0.0	0.43488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96898	0.0	0.0	0.0	0.0	0.00398	0.0	0.0	0.0	0.0	0.0	0.06828	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.0347	0.04391	0.1873	0.02267	0.01547	0.01149	0.01933	0.02292	0.05317	0.00848	0.26917	0.00037	0.01526	0.07765	0.01649	0.00926	0.00134	0.015	0.01236	0.00194	0.01349	0.00783	0.09593	0.0185	0.00671	0.00635	0.01495	0.0082	0.01739	0.04569	0.00328	0.01288	0.05278	0.0597	0.00807	0.04013	0.07059	0.03548	0.01342	0.0915	0.02505	0.00027	0.01409	0.00467	0.00525	0.01319	1.24018	0.00416	0.00611	0.01599	0.01352
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	0.0347	0.04391	0.1873	0.02267	0.01547	0.01149	0.01933	0.02292	0.05317	0.00848	0.26917	0.00037	0.01526	0.07765	0.01649	0.00926	0.00134	0.015	0.01236	0.00194	0.01349	0.00783	0.09593	0.0185	0.00671	0.00635	0.01495	0.0082	0.01739	0.04569	0.00328	0.01288	0.05278	0.0597	0.00807	0.04013	0.07059	0.03548	0.01342	0.0915	0.02505	0.00027	0.01409	0.00467	0.00525	0.01319	1.24018	0.00416	0.00611	0.01599	0.01352
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	0.0347	0.04391	0.1873	0.02267	0.01547	0.01149	0.01933	0.02292	0.05317	0.00848	0.26622	0.00037	0.01526	0.07765	0.01649	0.00926	0.00134	0.015	0.01141	0.00194	0.01349	0.00783	0.09593	0.0185	0.00671	0.00635	0.01495	0.0082	0.01739	0.04569	0.00328	0.01288	0.05278	0.0597	0.00807	0.04013	0.07059	0.03548	0.01342	0.0915	0.02505	0.00027	0.01409	0.00467	0.00525	0.01319	1.24018	0.00416	0.00611	0.01599	0.01352
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.70991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018	0.0	0.0	0.00066	0.0	0.0	0.0	0.0	0.00015	0.0	0.0	0.0	0.0	0.0	0.0035	0.00022	0.00042	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.14257	0.01446	0.01845	0.00868	0.00159	0.00178	0.0169	0.03522	0.0	0.00224	0.90291	0.00029	0.04732	0.02703	0.00084	0.00177	0.0219	0.01418	0.01978	0.0004	0.0	0.0	0.03249	0.00487	0.01561	0.00809	0.01104	0.09088	0.0	0.03579	0.00221	0.00228	0.08798	0.00992	0.04584	0.05617	0.00088	0.30587	0.0208	0.04284	0.00236	0.00016	0.01415	0.02625	0.00393	0.0007	0.07509	0.01502	0.52438	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	0.14049	0.01446	0.01845	0.00868	0.00159	0.00178	0.0169	0.03522	0.0	0.00224	0.83545	0.00029	0.04732	0.02535	0.00084	0.00114	0.0219	0.01418	0.01978	0.0004	0.0	0.0	0.01868	0.00212	0.01561	0.00809	0.01104	0.09088	0.0	0.03579	0.00178	0.00228	0.08798	0.0076	0.04584	0.04889	0.00088	0.30587	0.0208	0.04163	0.00236	0.0	0.01415	0.02625	0.00393	0.00044	0.07142	0.01445	0.52438	0.0	0.0
